"translation_id","translation_key","language_code","translation_value","is_active","module_code","sort_order","created_at","created_by","updated_at","updated_by"
1095,"NAV.GROUP.DOCUMENTS","de-CH","Dokumente",1,"NAV","40",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:12:30,"System User"
1096,"NAV.GROUP.DOCUMENTS","en-US","Documents",1,"NAV","40",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:12:30,"System User"
1097,"NAV.DOCUMENT_PREVIEW","de-CH","Dokumentvorschau",1,"NAV","50",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:09:09,"System User"
1098,"NAV.DOCUMENT_PREVIEW","en-US","Document preview",1,"NAV","50",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:09:09,"System User"
1099,"NAV.GROUP.FRAMEWORK","de-CH","Framework",1,"NAV","60",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:13:06,"System User"
1100,"NAV.GROUP.FRAMEWORK","en-US","Framework",1,"NAV","60",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:13:06,"System User"
1101,"NAV.TRANSLATIONS","de-CH","Uebersetzungen",1,"NAV","70",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:56,"System User"
1102,"NAV.TRANSLATIONS","en-US","Translations",1,"NAV","70",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:56,"System User"
1103,"NAV.FW_TRANSLATIONS","de-CH","Uebersetzungen pflegen",1,"NAV","80",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:47:53,"System User"
1104,"NAV.FW_TRANSLATIONS","en-US","Maintain translations",1,"NAV","80",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:47:53,"System User"
1105,"NAV.LOCALISATION","de-CH","Lokalisierung",1,"NAV","90",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:03,"System User"
1106,"NAV.LOCALISATION","en-US","Localisation",1,"NAV","90",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:04,"System User"
1107,"NAV.TAGS","de-CH","Framework-Tags",1,"NAV","100",30.05.2026 09:47:37,"SYSTEM",31.05.2026 21:46:11,"System User"
1108,"NAV.TAGS","en-US","Framework-Tags",1,"NAV","100",30.05.2026 09:47:37,"SYSTEM",31.05.2026 21:46:12,"System User"
1109,"NAV.TAG_HELP","de-CH","Tag-Hilfe",1,"NAV","110",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:45,"System User"
1110,"NAV.TAG_HELP","en-US","Tag help",1,"NAV","110",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:45,"System User"
1111,"NAV.GROUP.ORDERS","de-CH","Bestellungen",1,"NAVIGATION","120",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1112,"NAV.GROUP.ORDERS","en-US","Orders",1,"NAVIGATION","120",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1113,"NAV.GROUP.FINANCE","de-CH","Finanzen",1,"NAVIGATION","130",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1114,"NAV.GROUP.FINANCE","en-US","Finance",1,"NAVIGATION","130",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1115,"NAV.GROUP.REPORTING","de-CH","Auswertungen",1,"NAVIGATION","140",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1116,"NAV.GROUP.REPORTING","en-US","Reports",1,"NAVIGATION","140",30.05.2026 09:47:37,"SYSTEM",30.05.2026 09:47:37,"SYSTEM"
1117,"NAV.GROUP.TENANT","de-CH","Mandant",1,"NAV","150",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:14:01,"System User"
1118,"NAV.GROUP.TENANT","en-US","Tenant",1,"NAV","150",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:14:01,"System User"
1119,"NAV.ARTICLE_GROUPS","de-CH","Artikelgruppen",1,"NAV","155",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:09:33,"System User"
1120,"NAV.ARTICLE_GROUPS","en-US","Article groups",1,"NAV","155",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:09:33,"System User"
1121,"NAV.NEW_ARTICLE_GROUP","de-CH","Neue Artikelgruppe",1,"NAV","156",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:34,"System User"
1122,"NAV.NEW_ARTICLE_GROUP","en-US","New article group",1,"NAV","156",30.05.2026 09:47:37,"SYSTEM",02.06.2026 12:48:34,"System User"
1123,"NAV.ARTICLES","de-CH","Artikel",1,"NAV","157",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:09:45,"System User"
1124,"NAV.ARTICLES","en-US","Articles",1,"NAV","157",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:09:45,"System User"
1125,"NAV.GROUP.SYSTEM","de-CH","System",1,"NAV","160",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:13:28,"System User"
1126,"NAV.GROUP.SYSTEM","en-US","System",1,"NAV","160",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:13:28,"System User"
1127,"NAV.FW_NAVIGATION_ADMIN","de-CH","Navigation verwalten",1,"NAV","170",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:10:07,"System User"
1128,"NAV.FW_NAVIGATION_ADMIN","en-US","Manage navigation",1,"NAV","170",30.05.2026 09:47:37,"SYSTEM",01.06.2026 18:10:07,"System User"
1129,"COMMON.NEW","de-CH","Neu",1,"COMMON","171",30.05.2026 09:47:37,"SYSTEM",31.05.2026 14:49:30,"System User"
1130,"COMMON.NEW","en-US","New",1,"COMMON","171",30.05.2026 09:47:37,"SYSTEM",31.05.2026 14:49:31,"System User"
1131,"COMMON.EDIT","de-CH","Bearbeiten",1,"COMMON","172",30.05.2026 09:47:37,"SYSTEM",31.05.2026 14:49:06,"System User"
1132,"COMMON.EDIT","en-US","Edit",1,"COMMON","172",30.05.2026 09:47:37,"SYSTEM",31.05.2026 14:49:06,"System User"
1133,"COMMON.REFRESH","de-CH","Aktualisieren",1,"COMMON","173",30.05.2026 09:47:37,"SYSTEM",31.05.2026 14:49:44,"System User"
