"translation_key","old_language_code","new_language_code","old_text","new_text","classification","auto_cleanable"
"FORM.FRMADDRESSCOCKPIT.EMAILS","EN-US","en-US","Emails","Emails","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.FORM_TITLE","DE-CH","de-CH","Adress-Cockpit","Adress-Cockpit","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.FORM_TITLE","EN-US","en-US","Address Cockpit","Address Cockpit","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LAST_ACTIVITY","DE-CH","de-CH","Letzte Aktivitaet","Letzte Aktivitaet","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LAST_ACTIVITY","EN-US","en-US","Last activity","Last activity","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLACTIVESUBSCRIPTIONS","DE-CH","de-CH","Aktive Abos","Aktive Abos","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLACTIVESUBSCRIPTIONS","EN-US","en-US","Active Subscriptions","Active Subscriptions","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLADDRESS","DE-CH","de-CH","Adresse","Adresse","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLADDRESS","EN-US","en-US","Address","Address","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLCONTACT","DE-CH","de-CH","Kontakt","Kontakt","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLCONTACT","EN-US","en-US","Contact","Contact","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLCURRENCY","DE-CH","de-CH","Währung","Währung","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLCURRENCY","EN-US","en-US","Currency","Currency","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLDISPLAYNAME","DE-CH","de-CH","Name / Firma","Name / Firma","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLDISPLAYNAME","EN-US","en-US","Name / Company","Name / Company","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLDUNNINGS","DE-CH","de-CH","Mahnungen","Mahnungen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLDUNNINGS","EN-US","en-US","Reminders","Reminders","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLFORMTITLE","DE-CH","de-CH","","","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLFORMTITLE","EN-US","en-US","","","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLLANGUAGE","DE-CH","de-CH","Sprache","Sprache","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLLANGUAGE","EN-US","en-US","Language","Language","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLLASTACTIVITY","DE-CH","de-CH","Letzte Aktivität","Letzte Aktivität","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLLASTACTIVITY","EN-US","en-US","Last Activity","Last Activity","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLLOCKHINT","DE-CH","de-CH","Adresse ist gesperrt","Adresse ist gesperrt","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLLOCKHINT","EN-US","en-US","Address is locked","Address is locked","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLOPENINVOICES","DE-CH","de-CH","Offene Rechnungen","Offene Rechnungen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLOPENINVOICES","EN-US","en-US","Open Invoices","Open Invoices","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLOPENORDERS","DE-CH","de-CH","Offene Aufträge","Offene Aufträge","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLOPENORDERS","EN-US","en-US","Open Orders","Open Orders","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLOVERDUEITEMS","DE-CH","de-CH","Überfällige Posten","Überfällige Posten","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLOVERDUEITEMS","EN-US","en-US","Overdue items","Overdue items","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLSALESCURRENTYEAR","DE-CH","de-CH","Umsatz laufendes Jahr","Umsatz laufendes Jahr","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLSALESCURRENTYEAR","EN-US","en-US","Current Year Sales","Current Year Sales","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLSTATUS","DE-CH","de-CH","Status","Status","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LBLSTATUS","EN-US","en-US","Status","Status","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LOCK_HINT","DE-CH","de-CH","Adresse ist gesperrt","Adresse ist gesperrt","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.LOCK_HINT","EN-US","en-US","Address is locked","Address is locked","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.MANAGE_ORDERS","DE-CH","de-CH","Bestellungen verwalten","Bestellungen verwalten","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.MANAGE_ORDERS","EN-US","en-US","Manage orders","Manage orders","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.MANAGE_SUBSCRIPTIONS","DE-CH","de-CH","Abos verwalten","Abos verwalten","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.MANAGE_SUBSCRIPTIONS","EN-US","en-US","Manage subscriptions","Manage subscriptions","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.N_A","DE-CH","de-CH","n/a","n/a","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.N_A","EN-US","en-US","n/a","n/a","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.NEW_ORDER","DE-CH","de-CH","Neue Bestellung","Neue Bestellung","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.NEW_ORDER","EN-US","en-US","New order","New order","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.NEW_SUBSCRIPTION","DE-CH","de-CH","Neues Abo","Neues Abo","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.NEW_SUBSCRIPTION","EN-US","en-US","New subscription","New subscription","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.NOTES","DE-CH","de-CH","Notizen","Notizen","IDENTICAL_SELF_MATCH","True"
"FORM.FRMADDRESSCOCKPIT.NOTES","EN-US","en-US","Notes","Notes","IDENTICAL_SELF_MATCH","True"
